Nymphaea oxypetala
Nymphaea prolifera
Nymphaea pulchella
Nymphaea rubra
Nymphaea rudgeana
Victoria amazonica
Sauvagesia erecta
Sauvagesia racemosa
Sauvagesia rubiginosa
Sauvagesia sprengelii
Ludwigia affinis
Ludwigia caparosa
Ludwigia decurrens
Ludwigia densiflora
Ludwigia elegans
Ludwigia erecta
Ludwigia filiformis
Ludwigia grandiflora
Ludwigia helminthorrhiza
Ludwigia hexapetala
Ludwigia hyssopifolia
Ludwigia inclinata
Ludwigia irwinii
Ludwigia lagunae
Ludwigia leptocarpa
Ludwigia linifolia
Ludwigia longifolia
Ludwigia major
Ludwigia multinervia
Ludwigia nervosa
Ludwigia octovalvis
Ludwigia peploides
Ludwigia peruviana
Ludwigia rigida
Ludwigia sedoides
Ludwigia sericea
Ludwigia suffruticosa
Ludwigia tomentosa
Ludwigia torulosa
Ludwigia uruguayensis
Anacheilium alagoense
Cleistes gracilis
Cyrtopodium paludicolum
Epidendrum dendrobioides
Erythrodes pumila
Eulophia alta
Habenaria aricaensis
Habenaria brachyphyton
Habenaria bractescens
Habenaria graciliscarpa
Habenaria inconspicua
Habenaria johannensis
Habenaria nabucoi
Habenaria nuda
Habenaria parviflora
Habenaria pratensis
Habenaria repens
Habenaria riedelii
Habenaria vaupellii
Buchnera palustris
Buchnera rosea
Melasma melampyroides
Vellosiella dracocephaloides
Oxalis barrelieri
Passiflora foetida
Passiflora vespertilio
Piriqueta cistoides
Piriqueta duarteana
Piriqueta racemosa
Turnera scabra
Sesamum indicum
Phyllanthus fluitans
Phyllanthus hyssopifolioloides
Phyllanthus niruri
Phyllanthus sellowianus
Phyllanthus stipulatus
Phytolacca thyrsiflora
Piper caldense
Piper fuligineum
Achetaria ocymoides
Angelonia gardneri
Bacopa aquatica
Bacopa arenaria
Bacopa egensis
Bacopa lanigera
Bacopa monnieri
Bacopa rotundifolia
Bacopa salzmannii
Bacopa serpylloides
Bacopa stricta
Bcopa reflexa
Callitriche deflexa
Callitriche rimosa
Conobea aquatica
Gratiola peruviana
Mecardonia procumbens
Mecardonia serpylloides
Micranthemum umbrosum
Plantago australis
Scoparia dulcis
Scoparia montevidensis
Stemodia durantifolia
Stemodia maritima
Stemodia pratensis
Limonium brasiliense
Acroceras zizanioides
Agrostis palustris
Andropogon bicornis
Andropogon leucostachyus
Andropogon selloanus
Andropogon virgatus
Anthephora hermaphrodita
Axonopus brasiliensis
Axonopus leptostachyus
Axonopus purpusii
Bambusa trinii
Brachiaria brizantha
Brachiaria decumbens
Brachiaria mutica
Brachiaria plantaginea
Cenchrus echinatus
Cenchrus purpureus
Chloris barbata
Chloris exilis
Coix lacryma-jobi
Cynodon dactylon
Dactyloctenium aegyptium
Digitaria ciliaris
Digitaria horizontalis
Digitaria violascens
Dinebra scabra
Echinochloa crusgalli
Echinochloa crus-pavonis
Echinochloa polystachya
Echinochloa colona
Eleusine indica
Eragrostis acutiflora
Eragrostis bahiensis
Eragrostis ciliaris
Eragrostis hypnoides
Eragrostis japonica
Eragrostis pilosa
Eragrostis tenella
Eriochloa distachya
Eriochloa punctata
Eriochrysis cayennensis
Gynerium sagittatum
Heleochloa schoenoides
Homolepis aturensis
Homolepis isocalycia
Hymenachne donacifolia
Hymenachne amplexicaulis
Hypoginum virgatum
Imperata brasiliensis
Imperata tenuis
Isachne polygonoides
Ischaemum guianense
Ischaemum minus
Lasiacis procerrima
Leersia hexandra
Leptochloa fascicularis
Leptochloa virgata
Leptocoryphium lanatum
Luziola bahiensis
Luziola brasiliana
Luziola fragilis
Luziola peruviana
Luziola spruceana
Luziola subintegra
Megathyrsus maximus
Mesosetum loliiforme
Olyra ecaudata
Olyra longifolia
Oryza glumaepatula
Oryza grandiglumis
Oryza latifolia
Oryza sativa
Otachyrium succisum
Otachyrium versicolor
Panicum aquaticum
Panicum boliviense
Panicum dichotomiflorum
Panicum elephantipes
Panicum grande
Panicum grumosum
Panicum helobium
Panicum laxum
Panicum maximum
Panicum mertensii
Panicum milleflorum
Panicum parvifolium
Panicum pernambuncense
Panicum prionitis
Panicum repens
Panicum rivulare
Panicum sabulorum
Panicum schwackeanum
Paratheria prostrata
Pariana campestris
Paspalidium paludivagum
Paspalidium geminatum
Paspalum acuminatum
Paspalum boscianum
Paspalum conjugatum
Paspalum conspersum
Paspalum coryphaeum
Paspalum densum
